Time_epoch,Transmitted_speed (km/hr),Transmitted_latitude (degrees),Transmitted_longitude (degrees),Transmitted_altitude (meters),Transmitted_heading_angle (degrees),Transmitted_timestamp (HH:MM:SS.mmm),Cloud_latitude (degrees),Cloud_longitude (degrees),Distance (meters),Received_packet_timestamp (HH:MM:SS.mmm),Latency_of_packet_transmission (ms),Packet_error_rate,Cloud_total_transferred_data (MBytes),Cloud_average_bandwidth_client (Mbits/sec),Cloud_total_transferred_data_server (MBytes),Cloud_average_bandwidth_server (Mbits/sec),Cloud_download_speed (Mbits/sec),Cloud_upload_speed (Mbits/sec),Cloud_latency (ms),Data_rate (Mbits/sec)
1715959908,49,17.6024849,78.1266114,521.97,173.3358627,31:00.5,17.59994,78.1257,299.0133,31:00.6,51,0.268448205,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959909,54,17.6024574,78.1266183,521.791,165.9147439,31:00.6,17.59994,78.1257,296.3604292,31:00.7,54,0.179369994,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959910,32,17.6024574,78.1266183,521.791,90,31:00.7,17.59994,78.1257,296.3604292,31:00.8,53,0.276562271,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959911,34,17.602433,78.1266316,521.761,151.4059952,31:00.8,17.59994,78.1257,294.2691158,31:00.9,57,0.026547751,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959912,48,17.6024136,78.1266485,521.721,138.9397692,31:00.9,17.59994,78.1257,292.8479535,31:01.0,60,0.058794859,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959913,36,17.6024136,78.1266485,521.721,90,31:01.0,17.59994,78.1257,292.8479535,31:01.1,53,0.013568187,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959914,50,17.6023954,78.1266665,521.734,135.316548,31:01.1,17.59994,78.1257,291.6127163,31:01.2,57,0.097599099,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959915,38,17.6023752,78.1266835,521.744,139.916566,31:01.2,17.59994,78.1257,290.1532418,31:01.3,52,0.116603187,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959916,36,17.6023752,78.1266835,521.744,90,31:01.3,17.59994,78.1257,290.1532418,31:01.4,56,0.08140471,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959917,47,17.6023539,78.126698,521.753,145.7548777,31:01.4,17.59994,78.1257,288.5040928,31:01.5,55,0.248621253,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959918,33,17.6023321,78.1267119,521.744,147.4778177,31:01.5,17.59994,78.1257,286.7979039,31:01.6,60,0.107025998,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959919,54,17.6023321,78.1267119,521.744,90,31:01.6,17.59994,78.1257,286.7979039,31:01.7,56,0.084280353,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959920,57,17.6023107,78.1267269,521.814,144.9720577,31:01.7,17.59994,78.1257,285.195319,31:01.8,54,0.162808825,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959921,43,17.6022919,78.1267438,521.867,138.046481,31:01.8,17.59994,78.1257,283.9572677,31:01.9,51,0.042277267,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959922,47,17.6022919,78.1267438,521.867,90,31:01.9,17.59994,78.1257,283.9572677,31:02.0,52,0.240659094,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959923,55,17.6022778,78.126762,521.949,127.765849,31:02.0,17.59994,78.1257,283.2749243,31:02.1,52,0.022365193,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959924,38,17.6022692,78.1267831,521.871,112.1749708,31:02.1,17.59994,78.1257,283.2964592,31:02.2,53,0.296066081,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959925,55,17.6022692,78.1267831,521.871,90,31:02.2,17.59994,78.1257,283.2964592,31:02.3,59,0.231673431,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959926,50,17.6022683,78.1268087,521.744,92.01347549,31:02.3,17.59994,78.1257,284.3156373,31:02.4,56,0.059614704,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959927,31,17.6022739,78.1268379,521.642,79.14358665,31:02.4,17.59994,78.1257,286.1732582,31:02.5,55,0.001656635,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959928,49,17.6022739,78.1268379,521.642,90,31:02.5,17.59994,78.1257,286.1732582,31:02.6,51,0.244638429,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959929,57,17.6022801,78.1268676,521.589,78.20860172,31:02.6,17.59994,78.1257,288.1365086,31:02.7,59,0.212057203,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959930,44,17.6022819,78.1268942,521.601,86.12874377,31:02.7,17.59994,78.1257,289.538591,31:02.8,57,0.21870215,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959931,57,17.6022819,78.1268942,521.601,90,31:02.8,17.59994,78.1257,289.538591,31:02.9,51,0.231381104,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959932,36,17.6022781,78.1269173,521.653,99.34161499,31:02.9,17.59994,78.1257,290.2386804,31:03.0,57,0.022213396,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959933,41,17.6022683,78.1269383,521.729,115.0168935,31:03.0,17.59994,78.1257,290.2625715,31:03.1,55,0.107539719,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959934,58,17.6022683,78.1269383,521.729,90,31:03.1,17.59994,78.1257,290.2625715,31:03.2,51,0.034760718,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959935,37,17.6022516,78.1269568,521.803,132.072652,31:03.2,17.59994,78.1257,289.5044712,31:03.3,55,0.258931028,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959936,44,17.6022287,78.1269696,521.859,150.7969066,31:03.3,17.59994,78.1257,287.8777089,31:03.4,55,0.186989438,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959937,32,17.6022287,78.1269696,521.859,90,31:03.4,17.59994,78.1257,287.8777089,31:03.5,52,0.099269407,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959938,43,17.6022036,78.1269745,521.822,168.9536965,31:03.5,17.59994,78.1257,285.658605,31:03.6,60,0.019067505,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959939,46,17.6021778,78.1269722,521.764,185.0942966,31:03.6,17.59994,78.1257,283.0178394,31:03.7,59,0.093294697,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959940,33,17.6021778,78.1269722,521.764,90,31:03.7,17.59994,78.1257,283.0178394,31:03.8,57,0.097554997,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959941,47,17.6021518,78.126964,521.705,197.5044727,31:03.8,17.59994,78.1257,280.0625848,31:03.9,55,0.218881854,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959942,37,17.602128,78.126953,521.61,204.8056657,31:03.9,17.59994,78.1257,277.1809756,31:04.0,54,0.191267241,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959943,33,17.602128,78.126953,521.61,90,31:04.0,17.59994,78.1257,277.1809756,31:04.1,57,0.266163823,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959944,31,17.6021076,78.1269431,521.564,205.8870262,31:04.1,17.59994,78.1257,274.6872262,31:04.2,56,0.141664478,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959945,59,17.6020888,78.1269354,521.545,202.2727535,31:04.2,17.59994,78.1257,272.4616322,31:04.3,51,0.035878274,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959946,35,17.6020888,78.1269354,521.545,90,31:04.3,17.59994,78.1257,272.4616322,31:04.4,55,0.213973436,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959947,51,17.6020699,78.1269312,521.574,192.5288077,31:04.4,17.59994,78.1257,270.4054256,31:04.5,58,0.228235515,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959948,39,17.6020513,78.1269332,521.592,173.862744,31:04.5,17.59994,78.1257,268.6988832,31:04.6,55,0.168383159,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959949,33,17.6020513,78.1269332,521.592,90,31:04.6,17.59994,78.1257,268.6988832,31:04.7,51,0.231290154,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959950,51,17.6020363,78.1269432,521.63,146.3099324,31:04.7,17.59994,78.1257,267.7628105,31:04.8,58,0.148138679,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959951,58,17.602026,78.1269616,521.696,119.2393434,31:04.8,17.59994,78.1257,267.7350227,31:04.9,52,0.156819849,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959952,60,17.602026,78.1269616,521.696,90,31:04.9,17.59994,78.1257,267.7350227,31:05.0,53,0.128262306,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959953,47,17.6020188,78.1269869,521.765,105.885557,31:05.0,17.59994,78.1257,268.394484,31:05.1,52,0.007625738,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959954,55,17.6020128,78.1270136,521.738,102.6650638,31:05.1,17.59994,78.1257,269.2723651,31:05.2,53,0.032367428,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959955,41,17.6020128,78.1270136,521.738,90,31:05.2,17.59994,78.1257,269.2723651,31:05.3,58,0.009428756,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959956,31,17.6020055,78.1270379,521.775,106.7208734,31:05.3,17.59994,78.1257,269.9220138,31:05.4,55,0.190923123,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959957,39,17.601993,78.1270591,521.75,120.524564,31:05.4,17.59994,78.1257,269.9327143,31:05.5,52,0.094306794,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959958,59,17.601993,78.1270591,521.75,90,31:05.5,17.59994,78.1257,269.9327143,31:05.6,59,0.152571207,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959959,33,17.6019733,78.1270743,521.694,142.3471702,31:05.6,17.59994,78.1257,268.9518181,31:05.7,59,0.272269942,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959960,43,17.6019477,78.1270811,521.619,165.124318,31:05.7,17.59994,78.1257,266.957832,31:05.8,59,0.074787669,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959961,60,17.6019477,78.1270811,521.619,90,31:05.8,17.59994,78.1257,266.957832,31:05.9,52,0.123114877,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959962,45,17.6019181,78.1270815,521.59,179.2257798,31:05.9,17.59994,78.1257,264.2350541,31:06.0,55,0.226665342,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
